RTA ID,RTA Name,Parties concerned,Changes affect,Date of notification of changes,Date of signature of changes,Date of entry into force of changes,Remarks
135,Latin American Integration Association (LAIA)," Argentina, Uruguay",Goods,2020-03-10,1982-12-20,1985-11-27,"AAP.CE 1 (Articles 7 and 8 of the TM80) 

Partial Scope Economic Complementarity Agreement No. 1 (AAP.CE 1) establishes a trade liberalization programme that aims to eliminate the levies and other  restrictions that affect a list of products (Annexes I and II). It does not include agricultural products.

In accordance with the provisions of Article 1 of the AAP.CE 1.28, the Agreement expired on 1 May 2003.
"
135,Latin American Integration Association (LAIA)," Brazil, Uruguay",Goods,2020-03-10,1982-12-20,1985-10-16,"AAP.CE 2 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 2 (AAP.CE 2) has as its purpose to promote the maximum use of the factors of production among the signatory countries and to foster their economic complementarity, based on the establishment of a reciprocal trade duty phase-out programme. The products negotiated and subject to the trade liberalization programme are listed in Annexes I and II.
"
135,Latin American Integration Association (LAIA)," Argentina, Ecuador",Goods,2020-03-10,1984-05-24,1984-05-24,"AAP.CE 3 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 3 (AAP.CE 3) aims to promote economic complementarity between the two countries, for certain products in the sanitary fittings sector, by granting tariff preferences for trade in the following products: 84.61.1.01, 84.61.1.99, 84.61.8.01 and 84.61.9.99.

This Agreement ceased to have effect with the conclusion of AAP.CE 21 and AAP.CE 21.12 with the annexes containing preferences.
"
135,Latin American Integration Association (LAIA)," Chile, Uruguay",Goods,2020-03-10,1985-02-01,1985-02-01,"AAP.CE 4 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 4 (AAP.CE 4) establishes a liberalization programme which has the purpose of eliminating levies and restrictions that affect imports of the products included in Annexes I and II of the Agreement. Likewise, provisions are established regarding the origin regime (Annex III) and safeguard clauses.

As of the entry into force of AAP.CE 35 – 1 October 1996 – the tariff preferences negotiated in this Agreement and the associated regulatory aspects ceased to have effect. However, provisions that are not incompatible with AAP.CE 35 or those which relate to matters not included in the Agreement remain in force.

"
135,Latin American Integration Association (LAIA)," Mexico, Uruguay",Goods,2020-03-10,1986-05-07,1986-06-01,"AAP.CE 5 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 5 (AAP.CE 5) establishes that Mexico shall grant a 100% preference in respect of the tariff in force for third countries on imports originating in and coming from Uruguay, with the exception of the products included in Annex I. Likewise, Uruguay will apply a 100% preference in respect of the levies in force for third countries, of the imports originating in and coming from Mexico, and of the products listed in Annex III of the Agreement.

Likewise, AAP.CE 5 includes provisions relating to the origin regime (Annex V) and safeguard clauses.

AAP.CE 5 ceased to have effect on 15 July 2004 with the entry into force of AAP.CE 60.

"
135,Latin American Integration Association (LAIA)," Argentina, Mexico",Goods,2020-03-10,1986-10-24,1987-01-01,"AAP.CE 6 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 6 (AAP.CE 6) establishes a trade liberalization agreement set out in Annexes I and II, which record the preferences and other conditions agreed between the parties. In addition, the AAP.CE 6 includes provisions on the origin regime (Chapter V) and safeguard clauses (Chapter VI).

"
135,Latin American Integration Association (LAIA)," Argentina, Brazil",Goods,2020-03-10,1986-12-10,1987-01-01,"AAP.CE 7 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 7 (AAP.CE 7) establishes a trade liberalization agreement set out in Annex II and the parties intend to add to the list included in the said annex so that by 1990 it covers 50% of all capital goods of the LAIA tariff nomenclature.

This Agreement ceased to have effect on the entry into force of AAP.CE 14, on 20 December 1990.

"
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Colombia, Paraguay, Uruguay",Goods,2022-02-17,2017-07-21,2017-12-20,"AAP.CE 72 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 72 (AAP.CE 72) seeks to establish a free trade area among the Parties through the expansion and diversification of trade and the elimination of tariff and non tariff restrictions affecting reciprocal trade. It also seeks to establish a legal and institutional framework for cooperation and economic and physical integration that helps create an expanded economic area.

AAP.CE 72 maintains the objectives and scope of AAP.CE 59, as well as the tariff preferences and other access conditions. It also broadens the preferences for products from the industrial, textile, clothing, metalworking and vehicle sectors.

Three Understandings were signed under the trade liberalization programme: one on the deepening of bilateral tariff preferences between Brazil and Colombia in the automotive sector; another between Argentina and Colombia on the automotive sector; and a third between Argentina and Colombia on the chemical and plastic sectors.

Lastly, this Agreement provides that once all the procedures for incorporation into domestic law have been completed, AAP.CE 72 shall replace AAP.CE 59.
"
135,Latin American Integration Association (LAIA)," Cuba, Nicaragua",Goods,2022-02-17,2014-03-13,,"AAP.A25TM 44 (Article 25 of the TM80)

Partial Scope Agreement No. 44 (AAP.A25TM 44) seeks to strengthen existing trade relations between the Parties through the granting of tariff preferences (Annexes 1 and 2) and the elimination of non-tariff restrictions in bilateral trade. It aims to create and increase trading opportunities for the Parties, on a predictable, transparent and permanent basis, through cooperation, complementarity and solidarity.

The Agreement also contains annexes on the following disciplines: the regime of origin (Annex 3), sanitary and phytosanitary measures (Annex 4), technical barriers to trade (Annex 5), and the dispute settlement regime (Annex 6).
"
135,Latin American Integration Association (LAIA)," Ecuador, Nicaragua",Goods,2022-02-17,2016-07-05,,"AAP.A25TM 45 (Article 25 of the TM80)

Partial Scope Agreement No. 45 (AAP.A25TM 45) provides for the granting of tariff preferences and the elimination of non-tariff restrictions, which will help to strengthen and stimulate trade flows in a manner consistent with each country's respective economic policy.

Under this Agreement, Ecuador grants Nicaragua a 100% tariff preference for imports of 90 items, while Nicaragua grants Ecuador the same preference for a total of 96 items.

The Agreement also includes provisions on, inter alia, rules of origin, safeguard clauses, technical barriers to trade, and sanitary and phytosanitary measures.
"
135,Latin American Integration Association (LAIA)," Ecuador, El Salvador",Goods,2022-02-17,2017-02-13,,"AAP.A25TM 45 (Article 25 of the TM80)

Partial Scope Agreement No. 45 (AAP.A25TM 45) provides for the granting of preferential tariff treatment between the Parties; the elimination of non-tariff barriers; the facilitation of trade in goods; the fostering of cooperation with a view to deepening relations between production sectors; and the introduction of a dispute settlement system.

Regarding tariff concessions between the Parties, Ecuador grants El Salvador preferential tariff treatment for 214 items, while El Salvador grants Ecuador preferences for 207 items.

The Agreement also contains provisions on the following disciplines: rules of origin (Annex IV.1), customs procedures and trade facilitation, sanitary and phytosanitary measures, technical barriers to trade, trade defence, trade cooperation, and dispute settlement.
"
135,Latin American Integration Association (LAIA)," Chile, Uruguay",Goods,2022-02-21,2016-10-04,2018-12-13,"AAP.CE 73 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 73 (AAP.CE 73) provides for the establishment of a Free Trade Zone between the Parties and recognizes its coexistence with existing international agreements.

Likewise, it incorporates the Liberalization Programme and Origin Regime set forth in AAP.CE 35 and contains provisions concerning various domains, such as trade facilitation; small and medium-sized enterprises; competition policy; intellectual property; labour; the environment; trade and gender; and transparency and anti-corruption.
"
135,Latin American Integration Association (LAIA)," Brazil, Paraguay",Goods,2022-02-21,2020-02-11,,"AAP.CE 74 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 74 (AAP.CE 74) sets out the intention of the Parties to undertake concrete actions to strengthen reciprocal integration and step up cooperation in the economic field and in other areas agreed by the Parties.

The Parties also express their willingness and commitment to seek the full alignment of the automotive sector with MERCOSUR, based on the Treaty of Asunción and the Ouro Preto Protocol.

The commitments agreed by the Parties within the scope of this Agreement shall be incorporated through the signing of additional protocols.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Chile, Colombia, Cuba, Ecuador, Mexico, Paraguay, Peru, Uruguay, Venezuela, Bolivarian Republic of",Goods,2022-12-28,2020-08-13,2022-05-16,"AAP.CE 75 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 75 (AAP.CE 75) provides for the establishment of a Free Trade Zone between Chile and Ecuador and sets out provisions on various topics, including the following: tariff preferences, rules of origin, trade facilitation, trade defence, good regulatory practices, sanitary and phytosanitary measures, technical barriers to trade, government procurement, competition policy, regional and global value chains, trade and labour, trade and the environment, trade and gender, economic and trade cooperation, and transparency and anti-corruption.
"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Chile, Colombia, Cuba, Ecuador, Mexico, Paraguay, Peru, Uruguay, Venezuela, Bolivarian Republic of",Goods,2024-12-20,2019-02-07,,"AAP.A25TM 47 (Article 25 of the TM80)

Partial Scope Agreement No. 47 under Article 25 of the TM80 (AAP.A25TM 47) provides for the granting of preferential tariff treatment between the Parties for goods included in Annexes I and II, on which the Parties shall not adopt or maintain non-tariff restrictions.
AAP.A25TM 47 also contains provisions on the following disciplines: rules of origin, safeguards, unfair trade practices, sanitary and phytosanitary measures, customs procedures and trade facilitation.
"
135,Latin American Integration Association (LAIA)," Mexico, Peru",Goods,2020-03-10,1987-03-25,1987-03-25,"AAP.CE 8 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 8 (AAP.CE 8) is intended to strengthen economic and trade relations between the parties. For this purpose, a trade liberalization programme is established, set out in Annexes I and II, where the negotiated tariff preferences and other conditions agreed upon by the parties are recorded.

In addition, AAP.CE 8 includes provisions on origin (Chapter IV) and safeguard clauses (Chapter V).

AAP.CE 8 ceased to have effect on 1 February 2012 with the entry into force of AAP.CE 67."
135,Latin American Integration Association (LAIA)," Argentina, Peru",Goods,2020-03-10,1988-03-11,1988-04-01,"AAP.CE 9 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 9 (AAP.CE 9) has as its purpose to strengthen economic and trade relations between the parties. For this purpose, a trade liberalization programme is established, set out in Annexes I and II, in which the negotiated tariff preferences and other conditions agreed upon by the parties are recorded.

In addition, AAP.CE 9 contains provisions on origin (Chapter IV) and safeguard clauses (Chapter V).

As of the entry into force of AAP.CE 48, on 1 August 2000, the tariff preferences negotiated in this Agreement and the associated regulatory aspects ceased to have effect. However, the provisions relating to matters not covered by AAP.CE 48 and those that are not incompatible with it remain in force. Subsequently, AAP.CE 48 was replaced by AAP.CE 58 and AAP.CE 59."
135,Latin American Integration Association (LAIA)," Argentina, Venezuela, Bolivarian Republic of",Goods,2020-03-10,1986-04-11,1986-04-11,"AAP.CE 10 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 10 (AAP.CE 10) has as its purpose to record the preferences granted between both Governments for the import of the negotiated products (Annexes I and II), and also the specific origin requirements (Annex III). 

In addition, it nullifies the preferences granted under AAP.R 7.

This Agreement ceased to have effect with the entry into force of AAP.CE 20, later superseded by AAP.CE 48, which entered into force on 1 August 2000, itself later superseded by AAP.CE 58 and AAP.CE 59."
135,Latin American Integration Association (LAIA)," Argentina, Colombia",Goods,2020-03-11,1988-04-28,1988-08-01,"AAP.CE 11 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 11 (AAP.CE 11) has as its aim the strengthening of economic and trade relations between the parties. For this purpose, a trade liberalization programme is established, reflected in Annexes I and II, in which the negotiated tariff preferences and other conditions agreed upon by the parties are recorded.

In addition, AAP.CE 11 contains provisions regarding origin that refer to Resolution 78 of the Committee of Representatives (Chapter IV) and safeguard clauses that refer to Resolution 70 of the same body (Chapter V).

As of the entry into force of the AAP.CE 48, on 1 August 2000, the tariff preferences negotiated in this Agreement and the associated regulatory aspects ceased to have effect. However, the provisions dealing with matters not covered by AAP.CE 48 and those that are not incompatible with it remain in force."
135,Latin American Integration Association (LAIA)," Argentina, Brazil",Goods,2020-03-11,1988-09-09,1988-09-01,"AAP.CE 12 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 12 (AAP.CE 12) establishes as a goal to be reached by the end of 1993, that the ""common list of industrialized foodstuffs"" negotiated in this Agreement, represents at least 50% of the products selected in the ""domain of industrialized foodstuffs"".

This Agreement ceased to have effect with the entry into force of AAP.CE 14, on 20 December 1990.
"
135,Latin American Integration Association (LAIA)," Argentina, Paraguay",Goods,2020-03-11,1989-11-28,1989-11-28,"AAP.CE 13 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 13 (AAP.CE 13) establishes a trade liberalization programme through which Argentina grants Paraguay a 100% preference in respect of products stipulated in Annex I, while Paraguay grants Argentina an annual and cumulative preference of 20%, increasing to 100% in five years (Annex II).

AAP.CE 13 incorporates provisions on economic cooperation and industrial complementarity."
135,Latin American Integration Association (LAIA)," Argentina, Brazil",Goods,2020-03-11,1990-12-20,1990-12-20,"AAP.CE 14 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 14 (AAP.CE 14) includes the entire tariff domain of goods classified under the LAIA tariff nomenclature and has among its objectives to facilitate the creation of the necessary conditions for the establishment of a common market between Argentina and Brazil. To this end, both countries agree to eliminate, by 31 December 1994, the levies and other restrictions applied in their reciprocal trade.
"
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Uruguay",Goods,2020-03-11,1991-04-12,1991-04-12,"AAP.CE 15 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 15 (AAP.CE 15) establishes a trade liberalization programme that will gradually lead to the total elimination of levies and other restrictions that affect the import of products originating in and coming from their respective territories. This trade liberalization programme will be given effect through percentage preferences negotiated between the parties, and preferences negotiated through industrial 
complementarity agreements.

This Agreement has been partially superseded by the AAP.CE 36. The provisions of AAP.CE 15 that are not related to the trade liberalization programme and that have not been addressed in AAP.CE 36 will remain in force."
135,Latin American Integration Association (LAIA)," Argentina, Chile",Goods,2020-03-11,1991-08-02,1991-08-02,"AAP.CE 16 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 16 (AAP.CE 16) is aimed at facilitating, expanding and diversifying trade. In addition, it aims to promote reciprocal investment, to encourage entrepreneurship and to facilitate the development of projects of common interest.

This Agreement incorporates, as from 1 January 1992, the products negotiated by the signatory countries within the framework of LAIA, with due consideration for the preferences and special arrangements, in the following instruments:

(I) Partial Scope Renegotiation Agreement No. 26
(II) Partial Scope Agreement of a Commercial Nature No. 5
(III) Partial Scope Agreement of a Commercial Nature No. 16
(IV) Partial Scope Agreement of a Commercial Nature No. 21"
135,Latin American Integration Association (LAIA)," Chile, Mexico",Goods,2020-03-11,1991-09-22,1991-09-22,"AAP.CE 17 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 17 (AAP.CE 17) has as its objective to establish a tariff reduction programme through which, from 1 January 1992, negotiated products will be exempt from tariff restrictions, following an exemption schedule.

In addition, the signatory countries undertake not to introduce new restrictions on imports originating in the other Party.

AAP.CE 17 ceased to have effect on 1 August 1999 with the entry into force of AAP.CE 41."
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Paraguay, Uruguay",Goods,2020-03-11,1991-11-29,1991-11-29,"AAP.CE 18 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 18 (AAP.CE 18) has as its objective to set in place the necessary conditions for the establishment of the common market to be set up pursuant to the Treaty of Asunción dated 26 March 1991, whose main instruments during the transition period are:

• A trade liberalization programme consisting of progressive, linear and automatic tariff reductions, accompanied by the elimination of non-tariff restrictions or measures with equivalent effects; and also of other restrictions on trade between the States Parties, with the aim of achieving zero tariffs by 31 December 1994, without any non-tariff restrictions anywhere in the entire tariff regime;
• The coordination of macroeconomic policies that will be carried out gradually and in convergence with the tariff reduction programmes and programmes to eliminate non-tariff restrictions indicated in the previous section;
• A common external tariff, designed to boost the foreign competitiveness of the signatory countries;
• The adoption of sectoral agreements, designed to optimize the use and mobility of production factors and to achieve efficient operational scales.

In addition, AAP.CE 18 includes provisions on the Origin Regime (Annex I) and safeguard clauses (Annex II)."
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of",Goods,2020-03-11,1992-04-28,1992-04-28,"AAP.CE 19 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 19 (AAP.CE 19) aims to improve economic and commercial cooperation between both countries. For this purpose, a trade liberalization programme is envisaged, along with provisions regarding the origin regime and safeguard clauses.

This Agreement was partially superseded by AAP.CE 36.

In accordance with the provisions of Article 42 of AAP.CE 36, the provisions of AAP.CE 19 not related to the trade liberalization programme that have not been addressed in AAP.CE 36. will remain in force by virtue of their strictly bilateral nature."
135,Latin American Integration Association (LAIA)," Argentina, Venezuela, Bolivarian Republic of",Goods,2020-03-11,1992-10-06,1995-08-06,"AAP.CE 20 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 20 (AAP.CE 20) provides that the products negotiated by the signatory countries within the framework of LAIA shall be incorporated into its text as of 1 October 1992, and that they shall be included in the following instruments, with due regard for the preferences special arrangements set out in the said agreements.

(I) Partial Scope Economic Complementarity Agreement No. 10.
(II) Partial Scope Agreement of a Commercial Nature No. 5.
(III) Partial Scope Agreement of a Commercial Nature No. 13.
(IV) Partial Scope Agreement of a Commercial Nature No. 18.

This Agreement was superseded upon the entry into force of AAP.CE 48, on 1 August 2000, and the negotiated tariff preferences and associated regulatory aspects ceased to have effect. In addition, AAP.CE 48 ceased to have effect upon the entry into force of AAP.CE 58 and AAP.CE 59, on 5 January 2005."
135,Latin American Integration Association (LAIA)," Argentina, Ecuador",Goods,2020-03-11,1993-05-13,,"AAP.CE 21 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 21 (AAP.CE 21) has as its purpose to establish the basis for the growing and progressive integration of the economies of the signatory countries. For this purpose, the preferences negotiated in AAP.R 5 and in AAP.CE 3 are incorporated into AAP.CE 21.

This Agreement was superseded upon the entry into force of AAP.CE 48, on 1 August 2000, the negotiated tariff preferences and the associated regulatory aspects ceasing to have effect. In addition, AAP.CE 48 ceased to have effect upon the entry into force of AAP.CE 58 and AAP.CE 59, on 1 April 2005."
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Chile",Goods,2020-03-11,1993-04-06,1993-04-06,"AAP.CE 22 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 22 (AAP.CE 22) has as its purpose to establish the basis for the growing and gradual integration of the economies of the signatory countries.

To this end, they establish a liberalization programme, through which the parties agree to grant tariff preferences on a list of products and undertake to make maximum efforts to prevent the application of measures likely to impede reciprocal trade.

With regard to the origin regime, the LAIA general origin rules will be applied, as approved by Resolution 78 of the Representatives Committee. In addition, where the safeguard clauses are concerned, the parties may apply the regional safeguard arrangements approved by Resolution 70 of the Committee of Representatives.

At the same time, AAP.CE 22 establishes a regional dispute resolution regime that provides for the conduct of consultations between the parties through the specific procedures established in Article 27."
135,Latin American Integration Association (LAIA)," Chile, Venezuela, Bolivarian Republic of",Goods,2020-03-11,1993-04-02,1993-04-02,"AAP.CE 23 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 23 (AAP.CE 23) aims to establish an enlarged economic area across the two countries.

To this end, a tariff reduction programme is established, pursuant to which the products included therein will be totally exempt, as of 1 July 1993, from non-tariff restrictions.

Where the origin regime is concerned, the LAIA general origin rules will be applied, approved by Resolution 78 of the Representatives Committee. In addition, where the safeguard clauses are concerned, the parties may apply the regional safeguards arrangements approved by Resolution 70 of the Committee of Representatives."
135,Latin American Integration Association (LAIA)," Chile, Colombia",Goods,2020-03-11,1993-12-06,1993-12-06,"AAP.CE 24 (Articles 7 and 8 of the TM80)

The purpose of the Partial Scope Economic Complementarity Agreement No. 24 (AAP.CE 24) is to establish an expanded economic area between the two countries that allows the free circulation of goods, services and productive factors.

To this end, the Parties agree on a tariff reduction programme that will begin on 1 January 1994. Likewise, the products included in the tariff reduction programme will enjoy the total elimination of non-tariff restrictions.

With regard to the origin regime, the LAIA general origin rules will be applied, as approved by Resolution 78 of the Representatives Committee. In addition, where the safeguard clauses are concerned, the parties may apply the regional safeguard arrangements approved by Resolution 70 of the Committee of Representatives."
135,Latin American Integration Association (LAIA)," Brazil, Peru",Goods,2020-03-11,1993-12-31,1994-09-28,"AAP.CE 25 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 25 (AAP.CE 25) is intended to improve bilateral economic relations between the parties, and also to strengthen bilateral commercial relations on a sound basis of dynamic balance, taking into account both qualitative and quantitative aspects. 

To this end, Annexes I and II of AAP.CE 25 set out the preferences, special arrangements and other conditions agreed upon by the signatory countries for the import of negotiated products, originating in their respective territories, classified in accordance with the LAIA tariff nomenclature based on the Harmonized System of Designation and Codification of Goods (NALADISA). It also includes provisions relating to the origin regime and safeguard clauses, among others.

Upon the entry into force of AAP.CE 39, on 16 August 1999, the negotiated tariff preferences and the associated regulatory aspects ceased to have effect. However, the provisions of this Agreement and its protocols that deal with matters not covered by AAP.CE 39 and those that are not incompatible with the Agreement remain in force."
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Brazil",Goods,2020-03-12,1994-01-27,1994-01-27,"AAP.CE 26 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 26 (AAP.CE 26) aims to improve bilateral economic relations between the Parties, and also to strengthen bilateral trade relations on a sound basis of dynamic balance, taking into account both qualitative and quantitative aspects.

To this end, Annexes I and II of AAP.CE 26 set out the preferences, special arrangements and other conditions agreed on by the signatory countries for the import of negotiated products originating in their respective territories and classified in accordance with the LAIA tariff nomenclature based on the Harmonized System (NALADISA).

It also includes provisions on the origin regime and safeguard clauses, among others.

Under the provisions of AAP.CE 26.2, the Agreement expired on 31 December 1995. The Agreement was superseded by AAP.CE 36."
135,Latin American Integration Association (LAIA)," Brazil, Venezuela, Bolivarian Republic of",Goods,2020-03-12,1994-07-15,1995-01-31,"AAP.CE 27 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 27 (AAP.CE 27) is intended to improve economic and trade relations between the Parties through the elimination of non-tariff restrictions and the strengthening of negotiated preferences.

To this end, a trade liberalization programme is established in Annexes I and II. In addition, where the general origin rules are concerned, application of Resolution 78 of the Committee of Representatives is stipulated, along with the adoption of Resolution 70 of the same body on safeguard clauses.

Upon the entry into force of the AAP.CE 39, on 16 August 1999, the tariff preferences negotiated in this Agreement and the associated regulatory aspects ceased to have effect. However, the provisions dealing with matters not covered by the AAP.CE 39 and those that are not incompatible with that Agreement remain in force."
135,Latin American Integration Association (LAIA)," Ecuador, Uruguay",Goods,2020-03-12,1994-05-01,,"AAP.CE 28 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 28 (AAP.CE 28) aims to facilitate, expand, diversify and liberalize the trade between the signatory countries, and also to promote reciprocal investments and encourage entrepreneurship among other aims.

To this end, on their reciprocal imports the parties shall grant each other tariff preference of 50% of the levies applicable to imports from third countries not members of LAIA, with a list of exceptions (Annex I).

Upon the entry into force of AAP.CE 59, on 1 April 2005, the tariff preferences negotiated in this Agreement and the regulatory aspects associated with them ceased to have effect. However, the provisions of AAP.CE 28 that are not incompatible with AAP.CE 59 or that refer to matters not covered by that Agreement remain in force."
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Paraguay",Goods,2020-03-12,1994-03-15,1994-03-15,"AAP.CE 29 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 29 (AAP.CE 29) aims to strengthen economic and trade relations between the signatory countries by eliminating non-tariff restrictions on bilateral trade and by deepening and broadening negotiated preferences, for which purpose the Parties shall establish a trade liberalization programme.

As established in AAP.CE 29.3 this Agreement was in force until 31 December 1995. It was subsequently replaced by AAP.CE 36.
"
135,Latin American Integration Association (LAIA)," Ecuador, Paraguay",Goods,2020-03-12,1994-09-15,,"AAP.CE 30 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 30 (AAP.CE 30) aims to expand, facilitate, promote and diversify trade between both countries. To this end, they established a liberalization programme under which the parties agreed to grant a tariff preference of 40% of the taxes applicable to imports from third countries. In addition, only the restrictions stipulated in the Supplementary Notes may be imposed on the imports of negotiated products.

Where the origin regime is concerned, the LAIA general origin rules shall be applied, approved by Resolution 78 of the Representatives Committee. In addition, where the safeguard clauses are concerned, the parties may apply the regional safeguard arrangements approved by Resolution 70 of the Committee of Representatives.

Upon the entry into force of AAP.CE 59, on 19 April 2005, the tariff preferences negotiated in this Agreement and the associated regulatory aspects ceased to have effect. However, the provisions of AAP.CE 30 that are not incompatible with AAP.CE 59 or that refer to matters not covered by that agreement, remain in force."
135,Latin American Integration Association (LAIA)," Bolivia, Plurinational State of, Mexico",Goods,2020-03-12,1994-09-10,1995-01-01,"AAP.CE 31 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 31 (AAP.CE 31) sets in place a trade liberalization compact under which the parties will progressively eliminate their customs tariffs but may maintain those that are in accordance with their GATT rights and obligations.

Chapter V of the Agreement sets out the rules that will govern the classification of the origin of the goods subject to trade.

In addition, in the event of disputes between the parties, the procedures established in Chapter XIX shall apply.

AAP.CE 31 was denounced by Bolivia on 7 December 2009, with effect from 7 June 2010. Subsequently, AAP.CE 66 was signed between the parties."
135,Latin American Integration Association (LAIA)," Chile, Ecuador",Goods,2020-03-12,1994-12-20,1994-12-20,"AAP.CE 32 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 32 (AAP.CE 32) aims to establish, at the earliest possible stage, an expanded economic area between the two countries, allowing the free circulation of goods, services and productive factors. To this end, the Parties agreed to remove levies from reciprocal trade by 1 January 2000, in accordance with an automatic phase-out schedule.

For the purposes of classifying the origin of the negotiated products, the signatory countries adopt the General Rules of LAIA, and also the LAIA regional safeguard arrangements.

Where the settlement of disputes is concerned, the countries will abide by the procedures established in Article 32 of AAP.CE 32.

This Agreement ceased to have effect upon the entry into force of AAP.CE 65, on 25 January 2010."
135,Latin American Integration Association (LAIA)," Colombia, Mexico, Venezuela, Bolivarian Republic of",Goods,2020-03-12,1994-06-13,1995-01-01,"AAP.CE 33 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 33 (AAP.CE 33) creates a trade liberalization agreement between the signatory countries, with the objective of stimulating the expansion and diversification of trade between the parties, and also eliminating trade barriers and facilitating the circulation of goods and services, among other aims.

To this end, a trade liberalization programme is established. AAP.CE 33 comprises 23 chapters with provisions on the automotive sector and the agricultural sector and measures on animal and plant health, along with an origin regime and safeguard clauses, among others.

It should be noted that Venezuela formally submitted an application to denounce AAP.CE 33, on 25 May 2006, which took effect 180 days after the notification of the signatory parties and the LAIA General Secretariat, in accordance with the provision of Article 23-08 of the Agreement, that deadline being reached on 19 November 2006.

"
135,Latin American Integration Association (LAIA)," Argentina, Bolivia, Plurinational State of, Brazil, Paraguay, Uruguay",Goods,2020-03-12,1995-12-07,1996-01-01,"AAP.CE 34 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 34 (AAP.CE 34) has as its objective the multilateralization of the preferences pursuant upon AAP.CE 15, 19, 26 and 29, with a view to the formation, at a later stage, of a free trade area, within a period of 10 years.

This Agreement was in force until 28 February 1997, the date on which AAP.CE 36 came into force."
135,Latin American Integration Association (LAIA)," Argentina, Brazil, Chile, Paraguay, Uruguay",Goods,2020-03-12,1996-06-25,1996-10-01,"AAP.CE 35 (Articles 7 and 8 of the TM80)

Partial Scope Economic Complementarity Agreement No. 35 (AAP.CE 35) aims to set in place a legal and institutional framework for cooperation and economic and physical integration conducive to the creation of an enlarged economic area to facilitate the free movement of goods and services and full use of productive factors.

In addition, it is intended to form a free trade area between the Parties within a maximum period of 10 years, through the expansion and diversification of trade and the elimination of tariff and non-tariff restrictions that affect reciprocal trade. For this purpose, a trade liberalization programme detailed in Title 2 of AAP.CE 35, Articles 2–12, is established.

Likewise, AAP.CE 35 contains provisions in the following domains: origin regime, unfair trade practices, defence of competition and of the consumer, settlement of disputes and customs valuation, among others."
